생성 시간,사용자,카드명,결과
"2026. 4. 24. 오전 12:52:47","JH","빗속 횡단보도","성공"
"2026. 4. 23. 오후 5:50:55","JH","오렌지 코스믹걸","성공"
"2026. 4. 23. 오후 4:01:16","삼순이와 찔찔이(김세은)","우리의 웨딩 라이드","성공"
"2026. 4. 23. 오후 3:59:02","삼순이와 찔찔이(김세은)","인형뽑기 속 나","성공"
"2026. 4. 23. 오후 3:49:19","삼순이와 찔찔이(김세은)","9컷 필름시트","성공"
"2026. 4. 23. 오후 3:37:47","삼순이와 찔찔이(김세은)","오렌지 코스믹걸","성공"
"2026. 4. 23. 오후 3:27:51","삼순이와 찔찔이(김세은)","오렌지 코스믹걸","성공"
"2026. 4. 23. 오후 3:21:58","삼순이와 찔찔이(김세은)","라면 머리","성공"
"2026. 4. 23. 오후 3:13:27","삼순이와 찔찔이(김세은)","비주얼계 밴드 멤버","성공"
"2026. 4. 22. 오후 1:32:42","JH","지하철 포착","성공"
"2026. 4. 22. 오후 1:29:09","JH","홀로그래픽 버터플라이","성공"